"random_id","snap_elec_app","q2_new","q3","q4","q5a","q5b","q5c","q5d","q5e","q6count","q7count","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q8i","q8j","q8k","q8l","q9","q10count","q11a","q11b","q11c","q11d","q11e","q12a","q12b","q12c","q12d","q12e","q12f","q13a","q13b","q14","q17","q19","q20","q21a","q21b","q21c","q21d","q21e","q21f","q21g","q21h","q21i","q21j","q21k","q21l","q22a","q22b","q22c","q22d","q22e","q22f","q23a","q23b","q23c","q23d","q23e","q23f","q23g","q23h","q23i","q24","q25a","q25b","q25c","q25d","q25e","q26a","q26b","q26c","q26d","q26e","q26f","q27a","q27b","pop_density"
1,1,1,1,3,2,3,2,2,2,1,,2,1,2,2,2,2,6,6,3,2,3,3,2,,2,6,6,2,2,4,2,3,3,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,2,1,1,2,2,3,2,2,3,1,,2,3,2,2,2,3,2,2,2,2,3,3,2,,2,2,3,3,2,1,2,2,1,1,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,1,1,3,4,,,,,,,1,6,6,6,6,6,6,2,6,6,7,6,6,2,,2,6,6,7,7,5,5,5,5,5,5,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,3,3,3,3,3,4,2,2,3,3,1
5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,3,3,2,3,2,2,2,3,2,2,1
6,1,1,1,4,2,2,3,3,3,5,3,2,2,3,3,2,3,3,6,2,2,3,3,3,,7,6,7,7,7,2,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7,1,1,2,2,2,1,1,1,1,1,,2,2,2,2,2,2,2,6,2,2,2,2,1,4,1,1,2,2,2,2,2,2,3,3,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,1,1,2,2,1,2,6,6,2,7,2,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,2,2,6,6,7,7,2,3,3,2,2,2,1,1,1
9,2,1,1,4,,,,,,,5,2,2,2,2,7,3,2,2,2,2,3,7,1,2,7,7,7,7,7,3,3,3,3,6,6,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
10,1,3,3,4,,,,,,,,2,2,2,2,1,1,1,1,4,2,2,3,1,1,3,2,2,2,1,2,2,2,2,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
11,1,1,1,4,,,,,,,8,2,2,3,3,3,2,2,6,2,2,2,2,1,3,2,2,3,2,3,5,2,2,3,3,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
12,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,1,1,1,1,1,1,5,5,2
13,1,1,1,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,7,2,2,2,2,3,,2,6,6,2,2,4,4,3,3,3,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
14,1,1,1,3,3,3,3,3,2,1,1,4,2,2,3,3,3,2,6,2,2,3,3,2,,2,6,1,3,3,3,3,3,4,4,4,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
